POLICIA,0,180
POLICIA,1,114
POLICIA,2,68
POLICIA,3,57
POLICIA,4,35
POLICIA,5,20
POLICIA,6,19
POLICIA,7,18
POLICIA,8,26
POLICIA,9,23
POLICIA,10,120
POLICIA,11,390
POLICIA,12,566
POLICIA,13,585
POLICIA,14,664
POLICIA,15,646
POLICIA,16,536
POLICIA,17,488
POLICIA,18,412
POLICIA,19,421
POLICIA,20,310
POLICIA,21,322
POLICIA,22,321
POLICIA,23,261
ACCIDENTE,0,13
ACCIDENTE,1,5
ACCIDENTE,2,9
ACCIDENTE,3,5
ACCIDENTE,4,6
ACCIDENTE,5,3
ACCIDENTE,6,1
ACCIDENTE,7,1
ACCIDENTE,8,2
ACCIDENTE,10,9
ACCIDENTE,11,42
ACCIDENTE,12,54
ACCIDENTE,13,42
ACCIDENTE,14,29
ACCIDENTE,15,19
ACCIDENTE,16,38
ACCIDENTE,17,34
ACCIDENTE,18,38
ACCIDENTE,19,37
ACCIDENTE,20,22
ACCIDENTE,21,25
ACCIDENTE,22,27
ACCIDENTE,23,20
CONGESTION,0,236
CONGESTION,1,38
CONGESTION,2,31
CONGESTION,3,18
CONGESTION,4,9
CONGESTION,6,2
CONGESTION,7,2
CONGESTION,9,13
CONGESTION,10,277
CONGESTION,11,2720
CONGESTION,12,2092
CONGESTION,13,655
CONGESTION,14,435
CONGESTION,15,409
CONGESTION,16,640
CONGESTION,17,1157
CONGESTION,18,976
CONGESTION,19,819
CONGESTION,20,597
CONGESTION,21,1159
CONGESTION,22,1651
CONGESTION,23,816
CONVERSACION,0,51
CONVERSACION,1,17
CONVERSACION,2,20
CONVERSACION,3,12
CONVERSACION,4,10
CONVERSACION,5,8
CONVERSACION,6,5
CONVERSACION,7,5
CONVERSACION,8,2
CONVERSACION,9,5
CONVERSACION,10,32
CONVERSACION,11,68
CONVERSACION,12,89
CONVERSACION,13,116
CONVERSACION,14,156
CONVERSACION,15,137
CONVERSACION,16,122
CONVERSACION,17,104
CONVERSACION,18,100
CONVERSACION,19,99
CONVERSACION,20,68
CONVERSACION,21,78
CONVERSACION,22,84
CONVERSACION,23,62
CALLE_CERRADA,0,24
CALLE_CERRADA,1,15
CALLE_CERRADA,2,18
CALLE_CERRADA,3,14
CALLE_CERRADA,4,15
CALLE_CERRADA,5,8
CALLE_CERRADA,6,5
CALLE_CERRADA,7,6
CALLE_CERRADA,9,1
CALLE_CERRADA,10,3
CALLE_CERRADA,11,30
CALLE_CERRADA,12,38
CALLE_CERRADA,13,56
CALLE_CERRADA,14,57
CALLE_CERRADA,15,33
CALLE_CERRADA,16,31
CALLE_CERRADA,17,81
CALLE_CERRADA,18,44
CALLE_CERRADA,19,39
CALLE_CERRADA,20,9
CALLE_CERRADA,21,15
CALLE_CERRADA,22,48
CALLE_CERRADA,23,31
PELIGRO_GENERAL,0,177
PELIGRO_GENERAL,1,117
PELIGRO_GENERAL,2,111
PELIGRO_GENERAL,3,74
PELIGRO_GENERAL,4,42
PELIGRO_GENERAL,5,45
PELIGRO_GENERAL,6,39
PELIGRO_GENERAL,7,17
PELIGRO_GENERAL,8,15
PELIGRO_GENERAL,9,33
PELIGRO_GENERAL,10,199
PELIGRO_GENERAL,11,681
PELIGRO_GENERAL,12,753
PELIGRO_GENERAL,13,625
PELIGRO_GENERAL,14,529
PELIGRO_GENERAL,15,533
PELIGRO_GENERAL,16,590
PELIGRO_GENERAL,17,566
PELIGRO_GENERAL,18,542
PELIGRO_GENERAL,19,522
PELIGRO_GENERAL,20,328
PELIGRO_GENERAL,21,368
PELIGRO_GENERAL,22,297
PELIGRO_GENERAL,23,246
